month,group,district,count
2011-12,DISTURBANCES,B,98
2013-05,CAR PROWL,K,49
2012-02,CAR PROWL,B,24
2012-07,MENTAL HEALTH,C,36
2011-01,MENTAL HEALTH,N,35
2011-12,ASSAULTS,J,9
2012-05,AUTO THEFTS,S,43
2011-11,"NUISANCE, MISCHIEF",F,9
2012-01,ANIMAL COMPLAINTS,B,4
2011-03,TRAFFIC RELATED CALLS,M,226
2012-11,CAR PROWL,N,63
2011-10,BIKE,B,4
2013-01,ANIMAL COMPLAINTS,E,3
2013-06,"PROPERTY - MISSING, FOUND",O,13
2013-11,HARBOR CALLS,R,1
2011-11,MISCELLANEOUS MISDEMEANORS,Q,2
2011-11,TRAFFIC RELATED CALLS,S,203
2013-04,ARREST,Q,13
2012-06,MISCELLANEOUS MISDEMEANORS,J,2
2011-05,BIKE,Q,2
2012-10,"PERSONS - LOST, FOUND, MISSING",Q,2
2011-05,ARREST,K,77
2012-01,"PERSONS - LOST, FOUND, MISSING",O,1
2013-06,"PERSONS - LOST, FOUND, MISSING",J,6
2012-12,AUTO THEFTS,C,26
2011-09,SHOPLIFTING,C,5
2011-01,SUSPICIOUS CIRCUMSTANCES,J,257
2012-04,"PROPERTY - MISSING, FOUND",F,11
2012-02,WEAPONS CALLS,K,1
2012-05,OTHER PROPERTY,NULL,1
2011-08,CAR PROWL,B,53
2013-05,DISTURBANCES,W,152
2011-02,MENTAL HEALTH,C,28
2011-10,FALSE ALARMS,G,40
2011-05,"PERSONS - LOST, FOUND, MISSING",W,9
2011-08,MENTAL HEALTH,B,37
2011-02,OTHER VICE,99,1
2011-04,LIQUOR VIOLATIONS,C,48
2011-02,"NUISANCE, MISCHIEF",N,31
2012-09,LEWD CONDUCT,C,8
2013-12,NARCOTICS COMPLAINTS,E,20
2013-10,BIKE,M,7
2013-06,ANIMAL COMPLAINTS,B,4
2012-04,WEAPONS CALLS,M,6
2013-10,SHOPLIFTING,U,57
2013-09,OTHER VICE,E,1
2012-08,LEWD CONDUCT,G,2
2011-12,HAZARDS,S,2
2011-05,TRESPASS,B,19
2013-05,RECKLESS BURNING,R,2
2013-03,BIKE,U,3
2012-04,FALSE ALARMS,Q,70
2013-11,"NUISANCE, MISCHIEF",U,41
2013-08,OTHER PROPERTY,C,52
2013-07,SUSPICIOUS CIRCUMSTANCES,G,176
2013-09,TRESPASS,B,24
2011-09,LEWD CONDUCT,Q,3
2011-03,"PERSONS - LOST, FOUND, MISSING",N,8
2011-03,TRAFFIC RELATED CALLS,D,233
2013-05,NARCOTICS COMPLAINTS,U,13
